appName	tableName	colName	colType	colConstraints	argumentsList
hall	hall	id	int[10]	[NOT, NULL]	[10]
hall	hall	name	varchar[255]	[NOT, NULL, COMMENT, '名人堂昵称']	[255]
hall	hall	team	varchar[255]	[NOT, NULL, DEFAULT, 'Unknown', COMMENT, '团队名称']	[255]
hall	hall	url	varchar[100]	[NOT, NULL, COMMENT, '名人堂头像URL']	[100]
hall	hall	des	varchar[100]	[NOT, NULL, COMMENT, '名人堂介绍']	[100]
manager	manager	id	int[2]	[NOT, NULL, AUTO_INCREMENT]	[2]
manager	manager	username	varchar[20]	[NOT, NULL]	[20]
manager	manager	email	varchar[100]	[NOT, NULL, DEFAULT, '暂无']	[100]
manager	manager	password	varchar[32]	[NOT, NULL, DEFAULT, '暂无']	[32]
manager	manager	token	varchar[255]	[NOT, NULL, DEFAULT, '暂无', COMMENT, 'token']	[255]
manager	manager	login_ip	varchar[20]	[NOT, NULL, DEFAULT, '暂无']	[20]
manager	manager	create_at	varchar[11]	[NOT, NULL, DEFAULT, '暂无']	[11]
manager	manager	update_at	varchar[11]	[NOT, NULL, DEFAULT, '暂无']	[11]
post	post	id	int[11]	[NOT, NULL, AUTO_INCREMENT]	[11]
post	post	session	varchar[255]	[NOT, NULL]	[255]
post	post	title	varchar[255]	[DEFAULT, NULL]	[255]
post	post	content	textnull	[]	 
post	post	advise	varchar[255]	[NOT, NULL]	[255]
post	post	time	varchar[11]	[DEFAULT, '0']	[11]
post	post	day	tinyint[1]	[NOT, NULL, DEFAULT, '0', COMMENT, '修补期限']	[1]
post	post	cate_id	int[11]	[DEFAULT, NULL]	[11]
post	post	user_id	int[11]	[DEFAULT, NULL]	[11]
post	post	rank	tinyint[1]	[NOT, NULL, DEFAULT, '1', COMMENT, '漏洞等级']	[1]
post	post	bounty	varchar[255]	[NOT, NULL, DEFAULT, '0', COMMENT, '漏洞报告奖励']	[255]
post	post	type	tinyint[1]	[DEFAULT, '1', COMMENT, '1:审核中,2:已忽略,3:已确认,4:已修复']	[1]
post	post	visible	int[2]	[NOT, NULL, DEFAULT, '0']	[2]
info	info	user_id	int[11]	[NOT, NULL]	[11]
info	info	username	varchar[20]	[NOT, NULL]	[20]
info	info	realname	varchar[20]	[NOT, NULL]	[20]
info	info	location	varchar[50]	[NOT, NULL]	[50]
info	info	tel	varchar[11]	[NOT, NULL]	[11]
info	info	zipcode	varchar[6]	[NOT, NULL]	[6]
info	info	alipay	varchar[20]	[NOT, NULL]	[20]
category	category	id	int[11]	[NOT, NULL, AUTO_INCREMENT]	[11]
category	category	pid	int[11]	[DEFAULT, NULL, COMMENT, '父分类ID']	[11]
category	category	name	varchar[20]	[DEFAULT, NULL, COMMENT, '分类别名']	[20]
category	category	title	varchar[100]	[DEFAULT, NULL, COMMENT, '分类标题']	[100]
category	category	keywords	varchar[255]	[DEFAULT, NULL, COMMENT, '分类关键词']	[255]
category	category	description	varchar[255]	[DEFAULT, NULL, COMMENT, '分类描述']	[255]
order	order	id	int[10]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '订单编号']	[10]
order	order	userid	varchar[255]	[NOT, NULL, COMMENT, '用户ID']	[255]
order	order	username	varchar[50]	[NOT, NULL, COMMENT, '兑换用户']	[50]
order	order	realname	varchar[50]	[NOT, NULL, COMMENT, '真实姓名']	[50]
order	order	zipcode	varchar[10]	[NOT, NULL, COMMENT, '邮编']	[10]
order	order	address	varchar[100]	[NOT, NULL, COMMENT, '住址']	[100]
order	order	tel	int[15]	[NOT, NULL, COMMENT, '电话']	[15]
order	order	alipay	varchar[50]	[NOT, NULL, COMMENT, '支付宝']	[50]
order	order	gid	varchar[100]	[NOT, NULL, COMMENT, '礼品名称']	[100]
order	order	price	varchar[255]	[NOT, NULL, DEFAULT, '0', COMMENT, '订单金额']	[255]
order	order	num	int[10]	[NOT, NULL, DEFAULT, '1', COMMENT, '兑换数量']	[10]
order	order	update_time	varchar[255]	[NOT, NULL, COMMENT, '订单时间']	[255]
order	order	finish	int[2]	[NOT, NULL, COMMENT, '1. 完成 2.未完成']	[2]
record	record	id	int[100]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '操作ID']	[100]
record	record	type	int[10]	[NOT, NULL, COMMENT, '操作类型']	[10]
record	record	name	varchar[255]	[NOT, NULL, COMMENT, '操作名称']	[255]
record	record	content	varchar[255]	[NOT, NULL, COMMENT, '操作内容']	[255]
record	record	time	varchar[255]	[NOT, NULL, COMMENT, '操作时间']	[255]
record	record	user	varchar[255]	[NOT, NULL, COMMENT, '变动用户']	[255]
record	record	userid	int[10]	[NOT, NULL, DEFAULT, '0', COMMENT, '变动用户ID']	[10]
record	record	operator	varchar[255]	[NOT, NULL, DEFAULT, '暂无', COMMENT, '操作人']	[255]
blog	blog	id	int[10]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '博客ID']	[10]
blog	blog	title	varchar[100]	[NOT, NULL, DEFAULT, '暂无', COMMENT, '博客标题']	[100]
blog	blog	name	varchar[100]	[NOT, NULL, DEFAULT, '默认分类', COMMENT, '博客分类']	[100]
blog	blog	content	textnull	[NOT, NULL, COMMENT, '博客内容']	 
blog	blog	update_time	varchar[255]	[NOT, NULL, COMMENT, '创建时间']	[255]
comment	comment	id	int[255]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '评论编号']	[255]
comment	comment	user_id	varchar[255]	[NOT, NULL, COMMENT, '评论用户']	[255]
comment	comment	post_id	int[255]	[NOT, NULL, COMMENT, '评论报告']	[255]
comment	comment	content	varchar[255]	[NOT, NULL, COMMENT, '评论内容']	[255]
comment	comment	update_time	varchar[255]	[NOT, NULL, COMMENT, '评论时间']	[255]
notes	notes	id	int[100]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '特殊页面ID']	[100]
notes	notes	title	varchar[255]	[NOT, NULL, COMMENT, '特殊页面标题']	[255]
notes	notes	content	varchar[255]	[NOT, NULL, COMMENT, '特殊页面内容']	[255]
notes	notes	author	varchar[255]	[NOT, NULL, COMMENT, '页面作者']	[255]
notes	notes	time	varchar[255]	[NOT, NULL, COMMENT, '页面创建时间']	[255]
notes	notes	name	varchar[255]	[NOT, NULL, COMMENT, '页面别名']	[255]
links	links	id	int[11]	[unsigned, NOT, NULL, AUTO_INCREMENT, COMMENT, '奖品ID']	[11]
links	links	title	varchar[100]	[NOT, NULL, COMMENT, '奖品名称']	[100]
links	links	url	varchar[100]	[NOT, NULL, COMMENT, '奖品图片']	[100]
links	links	price	varchar[255]	[NOT, NULL, COMMENT, '奖品价格']	[255]
links	links	sort	varchar[255]	[NOT, NULL, DEFAULT, 'graphic', COMMENT, '奖品类型']	[255]
page	page	id	int[11]	[NOT, NULL, AUTO_INCREMENT, COMMENT, '公告ID']	[11]
page	page	title	varchar[100]	[NOT, NULL, COMMENT, '公告标题']	[100]
page	page	name	varchar[100]	[NOT, NULL, COMMENT, '公告名称']	[100]
page	page	author	varchar[100]	[NOT, NULL, COMMENT, '公告作者']	[100]
page	page	content	textnull	[NOT, NULL, COMMENT, '公告内容']	 
page	page	update_time	varchar[255]	[NOT, NULL, COMMENT, '发布日期']	[255]
setting	setting	id	int[11]	[unsigned, NOT, NULL, AUTO_INCREMENT, COMMENT, '配置编号']	[11]
setting	setting	value	varchar[255]	[NOT, NULL, COMMENT, '配置内容']	[255]
setting	setting	key1	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
setting	setting	key2	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
setting	setting	key3	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
setting	setting	key4	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
setting	setting	key5	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
setting	setting	key6	varchar[255]	[NOT, NULL, COMMENT, '配置数据']	[255]
